StationNumber,Station name,Date/Time,"Temperature, water, deg C","Dissolvedoxygen, mg/L","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water, fltrd, mg/L as N","Dissolvedsolids,sum ofconsti-tuents, mg/L","Oxidation re-duction potential, mV","Suspnd.sedimnt conc,wat unfest. byregres, mg/L",county
07264500,"BAYOU METO NR STUTTGART, AR",02/10 23:45 CST,5.3,--,136,--,--,--,--,--,--,Undefined
343826091361301,01S06W12BAB2,02/10 23:00 CST,19.7,--,754,--,--,--,--,--,--,Undefined
343826091361302,01S06W12BAB1,02/11 00:00 CST,18.6,--,"1,530",--,--,--,--,--,--,Undefined
07048495,"Town Branch at Armstrong St. at Fayetteville, AR",02/11 00:15 CST,1.5,--,545,--,7.0,--,--,--,--,White River Basin
07048550,"West Fork White River east of Fayetteville, AR",02/11 00:30 CST,1.5,--,196,--,Eqp,--,--,--,--,White River Basin
07048600,"White River near Fayetteville, AR",02/10 09:00 CST,4.0,12.6,88,7.1,16.4,--,--,--,--,White River Basin
07049050,"War Eagle Creek at War Eagle, AR",02/11 00:00 CST,4.5,13.3,179,8.1,2.9,--,--,--,--,White River Basin
07049691,White River at Beaver Dam near Eureka Springs,01/15 09:00 CST,Ssn,Ssn,--,--,--,--,--,--,--,White River Basin
07054501,White River at Bull Shoals Dam near Flippin,01/14 11:30 CST,Ssn,Ssn,--,--,--,--,--,--,--,White River Basin
07054502,White River below Bull Shoals Dam at Bull Shoals,01/14 10:30 CST,Ssn,Ssn,--,--,--,--,--,--,--,White River Basin
07054527,White River below Bull Shoals Dam near Fairview,01/14 10:45 CST,Ssn,Ssn,--,--,--,--,--,--,--,White River Basin
07055646,"Buffalo River near Boxley, AR",02/11 00:30 CST,6.8,--,--,--,--,--,--,--,--,White River Basin
07055660,"Buffalo River at Ponca, AR",02/11 00:30 CST,Eqp,--,--,--,--,--,--,--,--,White River Basin
07055680,"Buffalo River at Pruitt, AR",10/29 17:15 CDT,Eqp,--,--,--,--,--,--,--,--,White River Basin
07060000,"North Fork Riv US of Dry Ck bl Norfork Dam, AR",White River Basin
,"Left Bank, [Left Bank]",01/13 15:00 CST,Ssn,Ssn,--,--,--,--,--,--,--,White River Basin
,[Right Bank],01/13 15:15 CST,Ssn,--,--,--,--,--,--,--,--,White River Basin
,,12/31 23:45 CST,--,10.8,--,--,--,--,--,--,--,White River Basin
07060500,"White River at Calico Rock, AR",White River Basin
,From Thermistor,02/11 00:15 CST,7.2,--,--,--,--,--,--,--,--,White River Basin
07060710,"North Sylamore Creek near Fifty Six, AR",02/11 00:00 CST,4.2,--,--,--,--,--,--,--,--,White River Basin
07069190,Mammoth Spring at Mammoth Spring,02/11 00:15 CST,Dis,--,--,--,--,--,--,--,--,White River Basin
07074000,"Strawberry River near Poughkeepsie, AR",02/11 00:00 CST,4.9,--,--,--,--,--,--,--,--,White River Basin
07075000,"Middle Fork of Little Red River at Shirley, AR",02/11 00:00 CST,4.7,--,--,--,--,--,--,--,--,White River Basin
07075270,"South Fork of Little Red River near Scotland, AR",02/11 00:15 CST,4.7,12.2,21,6.1,4.3,--,--,--,6.6,White River Basin
07075300,"South Fork of Little Red River at Clinton, AR",02/11 00:00 CST,Dis,--,--,--,--,--,--,--,--,White River Basin
07076000,Little Red River near Heber Springs,02/11 00:00 CST,7.9,10.9,--,--,--,--,--,--,--,White River Basin
07076517,"Little Red River near Dewey, AR",02/10 23:45 CST,7.4,--,--,--,--,--,--,--,--,White River Basin
07337000,"Red River at Index, AR",02/11 00:00 CST,9.0,--,--,--,--,--,--,--,--,Red River Basin
07340300,"Cossatot River near Vandervoort, AR",02/11 00:30 CST,6.5,--,--,--,--,--,--,--,--,Red River Basin
