StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Dissolvedoxygen, mg/L","Nitrate +nitrite water,in situmg/L as",county
01651827,"ANACOSTIA RIVER NR BUZZARD POINT AT WASHINGTON, DC",02/11 01:00 EST,3.4,758,--,4.4,--,--,Undefined
01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",POTOMAC RIVER BASIN
,From multiparameter sonde,02/11 00:45 EST,3.4,479,8.5,1.9,14.4,--,POTOMAC RIVER BASIN
,SUNA,02/11 00:45 EST,--,--,--,--,--,1.49,POTOMAC RIVER BASIN
01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",02/11 01:35 EST,4.0,"2,030",7.4,7.0,12.7,--,POTOMAC RIVER BASIN
01651000,"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD",POTOMAC RIVER BASIN
,Center of flow,02/11 01:30 EST,4.2,"2,730",--,20.4,--,--,POTOMAC RIVER BASIN
01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",02/11 01:36 EST,4.8,"2,520",--,47.9,--,--,POTOMAC RIVER BASIN
01651800,"WATTS BRANCH AT WASHINGTON, DC",02/11 01:36 EST,5.0,"1,450",--,49.5,--,--,POTOMAC RIVER BASIN
01651730,"BEAVERDAM CREEK NEAR CHEVERLY, MD",02/11 01:00 EST,4.4,"1,980",--,31.2,--,--,CHESAPEAKE BAY TIDAL STATION
