StationNumber,Station name,Date/Time,"Dis-charge, ft3/s","Lake or reservoir elevation, NGVD, feet","Groundwater level above NAVD, feet","Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Dissolvedoxygen, mg/L","Turbidity, IR LED light,det ang90 deg, FNU","Chlorophyll,tot, wt650-700 nm,in situ ug/L",county
06856600,"REPUBLICAN R AT CLAY CENTER, KS",02/11 00:30 CST,226,--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 09:15 CST,--,--,--,Ice,Ice,Ice,Ice,Ice,--,
06887000,"BIG BLUE R NR MANHATTAN, KS",02/11 00:00 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],10/14 11:30 CDT,--,--,--,17.9,492,--,11.4,--,--,
,,10/14 11:15 CDT,--,--,--,--,--,--,--,9.3,--,
06887500,"KANSAS R AT WAMEGO, KS",02/11 00:30 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 12:00 CST,--,--,--,Ice,Ice,Ice,Ice,Ice,--,
06888990,"KANSAS R AT TOPEKA WATER PLANT, KS",02/11 00:30 CST,"1,130",--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 09:30 CST,--,--,--,Ice,Ice,Ice,Ice,Ice,--,
06892350,"KANSAS R AT DESOTO, KS",02/11 00:45 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 07:45 CST,--,--,--,Ice,Ice,Ice,Ice,Ice,--,
06892518,"KANSAS R NR LAKE QUIVIRA, KS",02/10 23:45 CST,"2,300",--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 10:00 CST,--,--,--,Ice,Ice,Ice,Ice,Ice,--,
06893390,"INDIAN C AT STATE LINE RD, LEAWOOD, KS",02/11 00:30 CST,29.0,--,--,--,--,--,--,--,--,
,[YSI EXO],02/03 13:30 CST,--,--,--,9.5,"2,130",8.4,14.7,2.8,--,
07137500,"ARKANSAS R NR COOLIDGE, KS",02/11 00:15 CST,Ice,--,--,-0.2,"4,120",--,--,--,--,
07143672,"L ARKANSAS R AT HWY 50 NR HALSTEAD, KS",02/11 00:30 CST,18.6,--,--,--,--,--,--,--,--,
,[YSI 6600/6136],05/16 09:00 CDT,--,--,--,--,--,--,--,174,--,
,[YSI EXO],02/11 00:00 CST,--,--,--,0.4,685,7.6,11.9,42.7,--,
07144100,"L ARKANSAS R NR SEDGWICK, KS",02/11 00:15 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI 6600/6136],07/15 11:00 CDT,--,--,--,25.0,--,--,--,3.3,--,
,[YSI EXO],02/10 23:30 CST,--,--,--,0.0,654,7.7,11.8,50.9,--,
07144780,"NF NINNESCAH R AB CHENEY RE, KS",02/11 00:30 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],02/11 00:00 CST,--,--,--,-0.1,"1,480",8.2,13.4,6.8,--,
07144790,"CHENEY RE NR CHENEY, KS",02/08 00:00 CST,--,"1,420.55",--,--,--,--,--,--,--,
,[YSI EXO],02/11 00:00 CST,--,--,--,0.0,830,8.4,13.6,3.6,--,
07179750,"NEOSHO R AT BURLINGAME RD NR EMPORIA, KS",02/11 00:30 CST,12.6,--,--,--,--,--,--,--,--,
,[YSI EXO],07/01 10:15 CDT,--,--,--,27.6,565,--,--,--,--,
,,06/24 10:00 CDT,--,--,--,--,--,--,--,25.4,--,
07182250,"COTTONWOOD R NR PLYMOUTH, KS",02/11 00:00 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 11:45 CST,--,--,--,Ice,Ice,--,--,Ice,--,
07182390,"NEOSHO R AT NEOSHO RAPIDS, KS",02/11 00:30 CST,Ice,--,--,--,--,--,--,--,--,
,[YSI EXO],02/05 08:45 CST,--,--,--,Ice,Ice,--,--,Ice,--,
375327097285401,25S 01W 07BCCC01  SMW-S11 NR CW36,02/11 00:00 CST,--,--,"1,362.59",15.9,657,7.0,5.2,--,--,
375350097262800,"L ARKANSAS R UPSTREAM OF ASR FAC NR SEDGWICK, KS",02/11 00:30 CST,--,--,--,0.2,677,7.9,12.0,43.3,--,
,[YSI 6600/6136],07/25 10:00 CDT,--,--,--,22.8,--,--,--,21.8,--,
375936102023901,"24S 43W 04CBB 01  CO-KS STATELINE, 2.5 MI S, ARK R",02/11 00:15 CST,--,--,"3,339.57",15.9,932,--,--,--,--,
375955102023701,"24S 43W 04BBC 01  CO-KS STATELINE, 2.1 MI S, ARK R",06/03 19:15 CDT,--,--,"3,340.67",Eqp,Eqp,--,--,--,--,
380117102023801,"23S 43W 28CBB 01  CO-KS STATELINE, 0.5 MI S, ARK R",02/11 00:30 CST,--,--,"3,345.81",14.3,"7,470",--,--,--,--,
391259097001800,"MILFORD LAKE NEAR WAKEFIELD, KS",
,Shallow,12/07 10:45 CST,--,--,--,--,--,8.5,--,--,--,
,,12/07 10:30 CST,--,--,--,--,804,--,12.2,--,--,
,,12/07 10:15 CST,--,--,--,4.6,--,--,--,--,--,
