StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Dissolvedoxygen, mg/L","Nitrate +nitrite water,in situmg/L as",county
03075871,"DEEP CREEK LAKE NEAR THAYERVILLE, MD",YOUGHIOGHENY RIVER BASIN
,[Measured at 2457.80 ft],02/10 21:00 EST,0.3,--,--,--,--,--,YOUGHIOGHENY RIVER BASIN
03076500,"YOUGHIOGHENY RIVER AT FRIENDSVILLE, MD",02/11 00:45 EST,0.2,--,--,--,--,--,YOUGHIOGHENY RIVER BASIN
01595800,"NORTH BRANCH POTOMAC RIVER AT BARNUM, WV",02/11 01:15 EST,2.7,307,7.8,--,--,--,NORTH BRANCH POTOMAC RIVER BASIN
01596500,"SAVAGE RIVER NEAR BARTON, MD",02/11 01:00 EST,0.0,--,--,--,--,--,NORTH BRANCH POTOMAC RIVER BASIN
01597500,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",02/11 01:00 EST,1.4,--,--,--,--,--,NORTH BRANCH POTOMAC RIVER BASIN
01608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",02/11 01:30 EST,1.9,220,8.3,--,13.7,--,SOUTH BRANCH POTOMAC RIVER BASIN
,[YSI EXO],02/11 01:30 EST,--,--,--,1.2,--,--,SOUTH BRANCH POTOMAC RIVER BASIN
01610400,"WAITES RUN NEAR WARDENSVILLE, WV",02/11 01:00 EST,1.5,--,--,--,--,--,POTOMAC RIVER BASIN (Town Creek to Harpers Ferry)
01611500,"CACAPON RIVER NEAR GREAT CACAPON, WV",02/11 01:30 EST,1.4,164,7.9,--,14.0,--,POTOMAC RIVER BASIN (Town Creek to Harpers Ferry)
01636500,"SHENANDOAH RIVER AT MILLVILLE, WV",02/11 01:30 EST,3.6,--,--,--,--,--,SHENANDOAH RIVER BASIN
01640975,"HUNTING CREEK NEAR THURMONT, MD",02/11 01:00 EST,2.4,--,--,--,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01642198,"CARROLL CREEK NEAR FREDERICK, MD",02/11 01:35 EST,4.5,520,--,--,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01642199,"CARROLL CREEK ABOVE ROCK CREEK AT FREDERICK, MD",02/11 01:10 EST,6.8,744,--,--,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",POTOMAC RIVER BASIN (Harpers Ferry to Washington)
,From multiparameter sonde,02/11 00:45 EST,3.4,479,8.5,1.9,14.4,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
,SUNA,02/11 00:45 EST,--,--,--,--,--,1.49,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",02/11 01:35 EST,4.0,"2,030",7.4,7.0,12.7,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01649190,"PAINT BRANCH NEAR COLLEGE PARK, MD",02/11 01:35 EST,3.1,"2,340",7.4,12.7,13.2,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",02/11 01:35 EST,3.8,"1,020",7.4,24.9,13.0,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01650800,"SLIGO CREEK NEAR TAKOMA PARK, MD",02/11 01:35 EST,4.0,"3,240",8.0,28.6,12.8,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01651000,"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD",POTOMAC RIVER BASIN (Harpers Ferry to Washington)
,Center of flow,02/11 01:30 EST,4.2,"2,730",--,20.4,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",02/11 01:36 EST,4.8,"2,520",--,47.9,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01651800,"WATTS BRANCH AT WASHINGTON, DC",02/11 01:36 EST,5.0,"1,450",--,49.5,--,--,POTOMAC RIVER BASIN (Harpers Ferry to Washington)
01651730,"BEAVERDAM CREEK NEAR CHEVERLY, MD",02/11 01:00 EST,4.4,"1,980",--,31.2,--,--,CHESAPEAKE BAY TIDAL STATION
01651827,"ANACOSTIA RIVER NR BUZZARD POINT AT WASHINGTON, DC",02/11 01:00 EST,3.4,758,--,4.4,--,--,CHESAPEAKE BAY TIDAL STATION
01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",02/11 00:45 EST,4.2,"1,940",7.4,--,12.5,1.24,POTOMAC RIVER BASIN (downstream of Washington DC)
,[YSI EXO],02/11 00:45 EST,--,--,--,11.0,--,--,POTOMAC RIVER BASIN (downstream of Washington DC)
01589025,"PATAPSCO RIVER NEAR CATONSVILLE, MD",02/10 23:30 EST,--,--,--,1.6,--,--,PATAPSCO RIVER BASIN
01589035,"PATAPSCO RIVER NEAR ELKRIDGE, MD",02/11 01:00 EST,--,--,--,1.5,--,--,PATAPSCO RIVER BASIN
01589290,"SCOTTS LEVEL BRANCH AT ROCKDALE, MD",02/11 00:50 EST,2.8,"1,260",7.8,9.9,--,--,PATAPSCO RIVER BASIN
01585219,"HERRING RUN AT SINCLAIR LANE AT BALTIMORE, MD",02/11 00:50 EST,3.3,"2,290",7.9,7.0,--,--,BACK RIVER BASIN
01585225,"MOORES RUN TRIB. NEAR TODD AVE AT BALTIMORE, MD",02/11 01:30 EST,5.0,--,7.6,--,--,--,BACK RIVER BASIN
01585230,"MOORES RUN AT RADECKE AVE AT BALTIMORE, MD",02/11 01:35 EST,--,--,7.6,--,--,--,BACK RIVER BASIN
,,02/11 01:30 EST,4.8,--,--,--,--,--,BACK RIVER BASIN
01581920,"GUNPOWDER FALLS NEAR PARKTON, MD",GUNPOWDER RIVER BASIN
,[15 ft downstream of gage],02/11 01:00 EST,3.2,--,--,--,--,--,GUNPOWDER RIVER BASIN
01585075,"FOSTER BRANCH NEAR JOPPATOWNE, MD",02/11 01:35 EST,2.5,710,--,10.8,--,--,GUNPOWDER RIVER BASIN
01581752,"PLUMTREE RUN NEAR BEL AIR, MD",02/11 01:35 EST,2.9,"1,190",--,1.2,--,--,BUSH RIVER BASIN
01579550,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",02/11 01:35 EST,2.9,297,--,1.5,--,1.78,SUSQUEHANNA RIVER BASIN
01463500,Delaware River at Trenton NJ,02/11 01:00 EST,1.0,285,8.0,2.2,14.9,--,DELAWARE BAY DRAINAGE
,,10/01 15:00 EDT,--,--,--,--,--,Dis,DELAWARE BAY DRAINAGE
01478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",02/11 01:15 EST,2.7,--,--,--,--,--,DELAWARE BAY DRAINAGE
01478245,"White Clay Creek near Strickersville, PA",02/11 01:30 EST,2.7,368,--,2.8,--,--,DELAWARE BAY DRAINAGE
01478650,"WHITE CLAY CREEK AT NEWARK, DE",02/11 01:15 EST,3.0,402,--,--,--,--,DELAWARE BAY DRAINAGE
01478950,"PIKE CREEK NEAR NEWARK, DE",02/11 01:30 EST,3.0,427,--,--,--,--,DELAWARE BAY DRAINAGE
01479000,"WHITE CLAY CREEK NEAR NEWARK, DE",02/11 01:15 EST,2.7,449,--,--,--,--,DELAWARE BAY DRAINAGE
01479820,"Red Clay Creek near Kennett Square, PA",02/11 00:45 EST,--,--,--,2.7,--,--,DELAWARE BAY DRAINAGE
01480000,"RED CLAY CREEK AT WOODDALE, DE",02/11 00:45 EST,3.0,--,--,--,--,--,DELAWARE BAY DRAINAGE
01481000,"Brandywine Creek at Chadds Ford, PA",02/11 01:30 EST,3.1,--,--,1.3,--,--,DELAWARE BAY DRAINAGE
,,12/07 12:00 EST,--,285,7.5,--,12.7,--,DELAWARE BAY DRAINAGE
01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",02/11 01:15 EST,2.8,462,8.1,1.6,13.9,--,DELAWARE BAY DRAINAGE
01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",02/11 01:00 EST,7.0,124,--,--,--,--,DELAWARE BAY DRAINAGE
01480065,"CHRISTINA RIVER AT NEWPORT, DE",02/11 01:30 EST,2.4,944,7.5,--,13.6,--,DELAWARE BAY TIDAL STATIONS
01482695,"C AND D CANAL NR DELAWARE CITY, DE",02/11 01:42 EST,2.5,"10,100",--,--,--,--,DELAWARE BAY TIDAL STATIONS
