StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU",county
04001000,"WASHINGTON CREEK AT WINDIGO, MI",02/11 01:00 EST,Ssn,--,--,--,--,Washington Creek Basin
04035995,"LAKE GOGEBIC NEAR BERGLAND, MI",02/11 00:45 EST,0.5,--,--,--,--,Ontonagon River Basin
04040000,"ONTONAGON RIVER NEAR ROCKLAND, MI",02/11 01:15 EST,Ssn,--,--,--,--,Ontonagon River Basin
,,11/17 11:15 EST,--,90,14.5,--,73.6,Ontonagon River Basin
04041500,"STURGEON RIVER NEAR ALSTON, MI",02/11 01:30 EST,1.1,--,--,--,--,Portage Lake
04043097,"FALLS RIVER NEAR L'ANSE, MI",02/11 01:30 EST,0.0,196,--,--,--,Falls River Basin
04043238,"SALMON TROUT RIVER NEAR BIG BAY, MI",02/11 00:45 EST,0.0,--,--,--,--,Salmon Trout Basin
04043244,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",02/11 01:00 EST,-0.0,148,--,--,--,Salmon Trout Basin
04044755,"MINERS RIVER NR MUNISING, MI",02/11 01:30 EST,Eqp,--,--,--,--,Miners River Basin
04057801,"M BR ESCANABA R AT US HWY 41 NR HUMBOLDT, MI",02/11 01:00 EST,-0.1,229,8.8,6.8,--,Escanaba River Basin
04059000,"ESCANABA RIVER AT CORNELL, MI",02/11 00:45 EST,Ssn,--,--,--,--,Escanaba River Basin
04059500,"FORD RIVER NEAR HYDE, MI",02/11 01:00 EST,Ssn,--,--,--,Ssn,Ford River Basin
,,11/19 12:30 EST,--,--,13.4,--,--,Ford River Basin
,,11/19 12:15 EST,--,232,--,--,--,Ford River Basin
04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",Menominee River Basin
,[YSI 6136],02/11 00:00 CST,--,--,--,--,2.1,Menominee River Basin
,[YSI],02/11 00:00 CST,0.4,296,13.4,7.9,--,Menominee River Basin
04101500,"ST. JOSEPH RIVER AT NILES, MI",02/11 01:00 EST,Eqp,--,--,--,0.0,St. Joseph River Basin
,,02/06 16:45 EST,--,Eqp,Eqp,--,--,St. Joseph River Basin
04108660,"KALAMAZOO RIVER AT NEW RICHMOND, MI",02/11 01:00 EST,-0.0,692,14.1,--,2.8,Kalamazoo River Basin
04118564,"GRAND RIVER AT N PARK ST NE AT GRAND RAPIDS, MI",02/11 01:30 EST,0.0,770,13.9,--,3.2,Grand River Basin
04119400,"GRAND RIVER NEAR EASTMANVILLE, MI",02/11 00:48 EST,0.0,781,13.3,--,2.5,Grand River Basin
04121650,"MUSKEGON RIVER AT BIG RAPIDS, MI",02/11 01:30 EST,0.0,--,13.3,--,--,Muskegon River Basin
04121660,"MUSKEGON RIVER NEAR STANWOOD, MI",02/11 01:30 EST,0.1,--,12.7,--,--,Muskegon River Basin
04121680,"MUSKEGON RIVER NEAR OXBOW, MI",02/11 01:30 EST,2.1,--,11.3,--,--,Muskegon River Basin
04121944,"LITTLE MUSKEGON RIVER NEAR OAK GROVE, MI",02/11 01:30 EST,-0.0,--,13.5,--,--,Muskegon River Basin
04121970,"MUSKEGON RIVER NEAR CROTON, MI",02/11 01:30 EST,1.2,--,12.2,--,--,Muskegon River Basin
04123500,"MANISTEE RIVER NEAR GRAYLING, MI",02/11 01:15 EST,0.4,--,--,--,--,Manistee River Basin
04124000,"MANISTEE RIVER NEAR SHERMAN, MI",02/11 01:30 EST,-0.1,--,14.0,--,--,Manistee River Basin
04124200,"MANISTEE RIVER NEAR MESICK, MI",02/11 01:30 EST,1.4,--,13.0,--,--,Manistee River Basin
04125460,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",02/11 01:30 EST,0.4,--,13.5,--,--,Manistee River Basin
04125550,"MANISTEE RIVER NEAR WELLSTON, MI",02/11 01:30 EST,1.1,--,12.9,--,--,Manistee River Basin
