StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Temperature, air, deg C",county
06461500,"Niobrara River near Sparks, Nebr.",
,Qwmonitor,02/11 00:15 CST,Ssn,--,--,--,--,--,
,,10/26 17:15 CDT,--,--,13.3,--,--,--,
,,10/20 11:00 CDT,--,--,--,8.2,--,--,
,,10/20 05:00 CDT,--,227,--,--,--,--,
06465500,"Niobrara River near Verdel, Nebr.",01/13 15:30 CST,0.2,--,--,--,--,--,
,Qwmonitor,10/19 23:45 CDT,--,--,11.7,8.2,--,--,
,,10/19 20:45 CDT,--,285,--,--,--,--,
06478522,"Bow Creek near Wynot, Nebr.",12/14 16:30 CST,Ssn,--,Ssn,Ssn,--,--,
,,07/14 15:30 CDT,--,Ssn,--,--,--,--,
06486000,"Missouri River at Sioux City, IA",02/11 00:00 CST,-0.1,--,--,--,--,--,
06601200,"Missouri River at Decatur, NE",02/11 00:00 CST,-0.0,--,--,--,--,--,
06610000,"Missouri River at Omaha, NE",02/11 00:00 CST,-0.0,--,--,--,--,--,
06610505,"Missouri River near Council Bluffs, IA",
,YSI,02/10 23:45 CST,0.0,Eqp,13.8,8.1,8.8,--,
06768000,"Platte River near Overton, Nebr.",02/10 23:45 CST,0.0,--,--,--,--,-18.4,
06772100,"Wood River at Grand Island, Nebr.",02/10 10:00 CST,--,--,--,--,--,-12.9,
06775500,"Middle Loup River at Dunning, Nebr.",02/11 00:45 CST,--,--,--,--,--,-14.4,
06775900,"Dismal River near Thedford, Nebr.",02/11 00:45 CST,3.2,--,--,--,--,--,
06784000,"South Loup River at Saint Michael, Nebr.",10/02 15:15 CDT,--,393,--,--,--,--,
,QW MONITOR,10/16 12:15 CDT,--,--,--,--,46.3,--,
,,10/16 12:00 CDT,6.6,--,--,--,--,--,
06785500,"North Loup River at Brewster, Nebr.",09/26 07:45 CDT,Dis,--,--,--,--,--,
06786000,"North Loup River at Taylor, Nebr.",09/15 10:45 CDT,Dis,--,--,--,--,--,
06795500,"Shell Creek near Columbus, Nebr.",
,YSI Deployment,10/07 23:45 CDT,--,--,--,--,220,--,
06796500,"Platte River near Leshara, Nebr.",02/11 00:00 CST,--,Ssn,--,--,Ssn,--,
,,10/01 11:45 CDT,12.2,--,11.6,--,--,--,
06796550,"Platte River near Venice, Nebr.",02/11 00:15 CST,0.0,--,--,--,--,--,
06800000,"Maple Creek near Nickerson, Nebr.",02/10 23:45 CST,--,--,--,--,--,-5.6,
06800500,"Elkhorn River at Waterloo, Nebr.",02/11 00:15 CST,--,Ssn,--,--,Ssn,--,
,,10/15 10:45 CDT,Ssn,--,--,--,--,--,
,,10/15 10:30 CDT,--,--,9.8,--,--,--,
06801000,"Platte River near Ashland, Nebr.",02/11 00:00 CST,--,--,Eqp,--,Eqp,--,
,,02/09 17:00 CST,Eqp,--,--,--,--,--,
,,02/08 15:15 CST,--,554,--,--,--,--,
06805000,"Salt Creek Near Ashland, Nebr.",10/06 10:45 CDT,14.3,--,8.6,--,--,--,
,,10/06 10:30 CDT,--,"3,600",--,--,25.1,--,
06805500,"Platte River at Louisville, Nebr.",10/01 07:45 CDT,12.9,528,9.1,--,--,--,
,,09/25 11:00 CDT,--,--,--,--,37.9,--,
06807000,"Missouri River at Nebraska City, NE",02/11 00:00 CST,0.1,--,--,--,--,--,
06811500,"Little Nemaha River at Auburn, Nebr.",02/11 00:15 CST,--,--,--,--,--,-15.8,
06813500,"Missouri River at Rulo, NE",02/11 00:30 CST,0.1,--,--,--,--,--,
06823500,"Buffalo Creek near Haigler, Nebr.",02/10 23:45 MST,--,--,--,--,--,-13.7,
06838000,"Red Willow Creek near Red Willow, Nebr.",02/11 00:30 CST,--,--,--,--,--,-20.3,
06853500,"REPUBLICAN R NR HARDY, NE",02/11 00:30 CST,0.3,--,--,--,--,--,
410156098442601,12N 13W12BBBB1 Saint Michael,02/10 23:45 CST,Dis,--,--,--,--,--,
410333095530101,"Missouri River near La Platte, Nebr.",02/11 00:15 CST,0.0,981,13.8,8.3,7.8,--,
411219096010601,"Bioretention Cell nr 69th & Q St. Omaha, NE",02/11 00:30 CST,--,--,--,--,--,-13.2,
412126095565201,"Missouri River at NP Dodge Park at Omaha, Nebr.",02/11 00:15 CST,0.0,941,14.0,8.3,7.0,--,
412522100121201,17N 25W21CDDD1 Arnold,01/13 12:45 CST,Dis,--,--,--,--,--,
414952100060301,22N 24W33DBCB1 Dunning,08/23 09:45 CDT,Dis,--,--,--,--,--,
415022096434301,22N  6E34BCBB1 West Point,02/11 00:15 CST,Dis,--,--,--,--,--,
