StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU",county
10249300,"S TWIN RV NR ROUND MOUNTAIN, NV",02/10 22:30 PST,3.2,--,--,--,
10301500,"WALKER RV NR WABUSKA, NV",02/10 22:15 PST,8.4,489,--,--,
10302002,"WALKER RV AT LATERAL 2-A SIPHON NR SCHURZ, NV",02/10 22:15 PST,6.4,12,--,--,
10302025,"WALKER RV NR MOUTH AT WALKER LAKE, NV",02/10 22:15 PST,5.3,"1,030",--,--,
10317480,"BEAVER CK ABV CONF N FK HUMBOLDT RV NR HALLECK, NV",02/10 22:00 PST,0.1,--,--,--,
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA",02/10 22:30 PST,2.4,--,--,3.0,
10336645,GENERAL C NR MEEKS BAY CA,02/10 22:30 PST,1.0,--,--,0.3,
10336660,BLACKWOOD C NR TAHOE CITY CA,02/10 22:30 PST,1.5,--,--,1.9,
10336676,WARD C AT HWY 89 NR TAHOE PINES CA,02/10 22:00 PST,0.1,--,--,0.7,
10336698,"THIRD CK NR CRYSTAL BAY, NV",02/10 22:00 PST,2.2,--,--,0.1,
10336700,"INCLINE CK NR CRYSTAL BAY, NV",02/10 22:00 PST,2.4,--,--,5.3,
10336780,"TROUT CK NR TAHOE VALLEY, CA",
,[(2)],02/10 22:00 PST,1.1,--,--,7.1,
10343500,SAGEHEN C NR TRUCKEE CA,02/10 22:00 PST,2.8,--,--,--,
10346000,TRUCKEE R A FARAD CA,
,TS087: YSI model 6136,03/21 07:30 PDT,--,--,--,13.7,
,[TS213: YSI EXO],02/10 22:45 PST,--,--,--,1.4,
10348200,"TRUCKEE RV NR SPARKS, NV",02/10 22:30 PST,7.7,165,--,--,
10350500,"TRUCKEE RV AT CLARK, NV",02/10 22:30 PST,8.3,319,--,--,
,,10/13 00:45 PDT,--,--,8.4,--,
10351600,"TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV",02/10 22:30 PST,8.4,--,--,--,
,,02/21 14:45 PST,--,369,--,--,
10351700,"TRUCKEE RV NR NIXON, NV",02/10 22:15 PST,8.8,435,--,--,
