StationNumber,Station name,Date/Time,"Temperature, water, deg C","Temperature, water, deg F","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Dissolvedoxygen, mg/L","Turbidity, water,unfltrd field, NTU","Chlorophyll,tot, wt650-700 nm,in situ ug/L",county
07151500,"CHIKASKIA R NR CORBIN, KS",12/20 22:30 CST,3.6,--,--,--,--,--,--,
07159550,"Lake Hefner at Oklahoma City, OK",
,"Tower, [IN TOWER]",02/11 00:30 CST,--,40.8,--,--,--,--,--,
07160350,"Skeleton Creek at Enid, OK",02/11 00:00 CST,0.0,--,"1,660",--,--,--,--,
07164500,"Arkansas River at Tulsa, OK",02/11 00:30 CST,3.9,--,--,--,--,--,--,
,,01/13 08:30 CST,--,--,--,--,Dis,--,--,
07177500,"Bird Creek near Sperry, OK",02/11 00:00 CST,1.2,--,273,7.2,13.9,--,--,
07178200,"Bird Ck at State Highway 266 near Catoosa, OK",02/09 20:30 CST,3.9,--,306,8.0,12.6,--,--,
071912213,"Spavinaw Creek near Colcord, OK",02/10 07:00 CST,8.7,--,285,7.7,10.0,--,--,
07191222,"Beaty Creek near Jay, OK",02/11 00:00 CST,6.2,--,266,7.5,11.3,--,--,
07195500,"Illinois River near Watts, OK",02/11 00:30 CST,5.2,--,--,--,--,--,--,
07198000,"Illinois River near Gore, OK",02/11 00:30 CST,7.3,--,--,--,11.7,--,--,
07229445,"Stanley Draper Lake near Oklahoma City, OK",
,"Intake Tower, [IN TOWER]",12/10 16:30 CST,--,0.0,--,--,--,--,--,
07239000,"North Canadian River at Canton, OK",02/11 00:00 CST,0.3,--,--,--,14.6,--,--,
07239450,"North Canadian River near Calumet, OK",02/11 00:00 CST,-0.0,--,"1,620",8.2,13.7,--,--,
07239500,"North Canadian River near El Reno, OK",02/11 00:00 CST,-0.6,--,"1,320",--,--,--,--,
07239700,"North Canadian River near Yukon, OK",11/25 11:00 CST,Eqp,--,Eqp,--,--,--,--,
07241000,"North Canadian River blw Lk Overholser nr OKC, OK",02/11 00:00 CST,--,--,"1,500",--,14.0,--,--,
,,02/10 22:00 CST,0.1,--,--,--,--,--,--,
07241520,"North Canadian River at Britton Rd at OKC, OK",02/11 00:00 CST,0.5,--,"1,330",--,13.8,--,--,
07241550,"North Canadian River near Harrah, OK",02/08 13:00 CST,5.6,--,"1,070",8.3,12.3,--,--,
07333010,"Atoka Reservoir near Stringtown, OK",
,[IN TOWER],02/11 00:30 CST,--,38.3,--,--,--,--,--,
07335700,"Kiamichi River near Big Cedar, OK",02/11 00:30 CST,4.5,--,--,--,--,--,--,
