StationNumber,Station name,Date/Time,"Temperature, water, deg C","Dissolvedoxygen, mg/L","Specificconductance,wat unfuS/cm @25 degC","Turbidity, IR LED light,det ang90 deg, FNU",county
023432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",02/11 01:30 EST,10.9,11.0,81,--,
02374050,"FOLLEY CREEK NEAR DIXIE, AL",02/11 00:30 CST,--,--,--,9.9,
02397530,"COOSA RIVER AT STATE LINE, AL/GA",02/11 01:00 EST,9.0,11.2,155,--,
02400100,TERRAPIN CREEK AT ELLISVILLE AL,02/11 00:00 CST,13.3,--,--,--,
02405500,KELLY CREEK NEAR VINCENT AL,02/10 23:00 CST,10.4,--,--,--,
02407514,"YELLOWLEAF CREEK NEAR WESTOVER, AL",02/11 00:00 CST,11.0,--,--,--,
02408540,HATCHET CREEK BELOW ROCKFORD AL,02/10 23:45 CST,--,--,--,6.0,
02412000,"TALLAPOOSA RIVER NEAR HEFLIN, AL",02/11 00:30 CST,Dis,--,--,--,
02414500,TALLAPOOSA RIVER AT WADLEY AL,02/11 00:15 CST,Dis,--,--,--,
02414715,"TALLAPOOSA RIVER NR NEW SITE, AL.(HORSESHOE BEND)",02/11 00:30 CST,Dis,--,--,--,
02419890,TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS,10/18 11:00 CDT,19.5,--,52,--,
02423110,"CAHABA RIVER NEAR TRUSSVILLE, ALA",02/11 00:00 CST,--,--,--,73.0,
02423130,"CAHABA RIVER AT TRUSSVILLE, AL.",12/11 16:00 CST,12.7,8.7,203,--,
02423160,CAHABA RIVER NEAR WHITES CHAPEL AL,02/11 00:15 CST,11.5,9.9,192,0.1,
02423380,CAHABA RIVER NEAR MOUNTAIN BROOK AL,02/11 00:00 CST,10.2,11.6,173,5.0,
02423397,"LITTLE CAHABA RIVER BELOW LEEDS, AL.",02/11 00:00 CST,14.3,8.3,361,--,
02423496,"CAHABA RIVER NEAR HOOVER, AL",02/11 00:00 CST,10.7,9.2,182,--,
0242354650,CAHABA VALLEY CR AT INDIAN TRAIL RD NR INDIAN SPRS,02/11 00:00 CST,14.3,8.5,267,3.0,
02423555,CAHABA RIVER NEAR HELENA AL,10/05 13:00 CDT,Ssn,Ssn,--,--,
02423571,SHADES CREEK AT ELDER ST NEAR SPRINGDALE AL,02/11 00:00 CST,12.5,8.9,273,0.0,
02423586,"SHADES CREEK NR HOMEWOOD, ALA",02/11 00:00 CST,12.6,9.3,278,9.8,
02423647,CAHABA RIVER NEAR WEST BLOCTON AL,10/05 15:00 CDT,Ssn,Ssn,--,--,
02450250,SIPSEY FORK NEAR GRAYSON AL,02/11 00:00 CST,9.8,--,--,--,
02453500,MULBERRY FORK AT CORDOVA AL,02/11 00:15 CST,8.7,--,--,--,
02455980,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,02/10 23:00 CST,14.0,9.3,294,--,
02457595,"FIVEMILE CREEK NEAR REPUBLIC, AL",02/11 00:00 CST,12.5,10.2,482,--,
02458148,"VILLAGE CREEK AT 86TH ST NORTH AT ROEBUCK, AL.",02/11 00:00 CST,15.9,--,365,--,
02458450,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",02/11 00:00 CST,14.1,8.0,367,--,
02458502,"VILLAGE CREEK NEAR PRATT CITY, ALABAMA",02/11 00:00 CST,13.7,--,358,--,
02458600,"VILLAGE CREEK NEAR DOCENA, ALABAMA",02/11 00:30 CST,15.6,--,--,--,
,[(2)],02/11 00:30 CST,15.6,--,--,--,
02461130,"VALLEY CREEK AT CENTER ST AT BIRMINGHAM, AL",02/11 00:15 CST,15.0,--,344,--,
02461192,"VALLEY CREEK AT AVE W NEAR ENSLEY, AL",02/11 00:15 CST,14.7,--,335,--,
02461405,"VALLEY CREEK BELOW BRIGHTON, ALA",02/11 00:00 CST,14.3,9.1,414,19.6,
02469100,TOMBIGBEE RIVER AT PENNINGTON AL,10/10 09:00 CDT,24.6,8.2,--,--,
02469525,"TOMBIGBEE RIVER NEAR NANAFALIA, AL.",02/11 00:30 CST,Ssn,Ssn,--,--,
03574768,"FLINT R AT OSCAR PATTERSON ROAD NR HAZEL GREEN, AL",02/11 00:00 CST,--,--,--,3.8,
03574975,"BRIER FORK AT MOORE'S MILL RD NR MERIDIANVILLE, AL",02/10 23:45 CST,--,--,--,5.9,
03575100,"FLINT RIVER AT BROWNSBORO, AL.",02/11 00:30 CST,--,--,--,5.4,
