StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water,in situmg/L as",county
11172945,ALAMEDA C AB DIV DAM NR SUNOL CA,02/10 22:45 PST,10.2,--,--,--,--,--,Alameda County
11172955,ALAMEDA C BL DIV DAM NR SUNOL CA,02/10 22:30 PST,9.5,--,--,--,--,--,Alameda County
11173500,CALAVERAS C NR SUNOL CA,02/10 22:45 PST,9.7,--,--,--,--,--,Alameda County
11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA,02/10 22:00 PST,9.7,--,--,--,--,--,Alameda County
11173575,ALAMEDA C BL WELCH C NR SUNOL CA,02/10 22:30 PST,10.4,--,--,--,--,--,Alameda County
11174000,SAN ANTONIO C NR SUNOL CA,02/10 22:00 PST,11.1,--,--,--,--,--,Alameda County
11176500,ARROYO VALLE NR LIVERMORE CA,02/10 21:45 PST,11.7,--,--,--,--,--,Alameda County
11176900,ARROYO DE LA LAGUNA A VERONA CA,02/10 22:30 PST,12.2,"1,450",--,8.2,--,--,Alameda County
11179000,ALAMEDA C NR NILES CA,02/10 22:00 PST,12.1,--,--,--,--,--,Alameda County
11180770,MT EDEN C NR UNION CITY CA,02/10 22:00 PST,13.8,"43,900",3.2,8.3,Eqp,0.82,Alameda County
11390000,BUTTE C NR CHICO CA,02/10 22:00 PST,8.3,--,--,--,--,--,Butte County
11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA,02/10 22:30 PST,10.2,--,--,--,--,--,Calaveras County
11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,02/10 22:15 PST,12.2,--,--,--,--,--,Colusa County
11185185,SUISUN BAY A MALLARD IS CA,Contra Costa County
,"LOWER-TS032:ForestTec DTS-12 -, [5 FT FROM BOTTOM]",02/10 22:15 PST,--,--,--,--,25.0,--,Contra Costa County
,"UPPER-TS032:ForestTec DTS-1 - , [3.3 FT FROM WATER SURFACE]",02/09 09:00 PST,--,--,--,--,17.4,--,Contra Costa County
11313315,OLD RIVER NEAR BYRON CA,02/10 22:00 PST,11.5,719,--,--,--,--,Contra Costa County
,[TS213: YSI EXO],02/10 22:00 PST,--,--,--,--,6.8,--,Contra Costa County
11313433,DUTCH SLOUGH BL JERSEY ISLAND RD A JERSEY ISLAND,02/10 22:00 PST,11.5,891,--,--,--,--,Contra Costa County
,[TS213: YSI EXO],02/10 22:00 PST,--,--,--,--,4.1,--,Contra Costa County
11337190,SAN JOAQUIN R A JERSEY POINT CA,Contra Costa County
,LEFT BANK BGC PROJECT,02/10 22:30 PST,11.4,643,10.2,7.8,7.5,0.83,Contra Costa County
11530500,KLAMATH R NR KLAMATH CA,02/10 22:30 PST,7.4,--,--,--,--,--,Del Norte County
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA",02/10 22:30 PST,2.4,--,--,--,3.0,--,El Dorado County
10336645,GENERAL C NR MEEKS BAY CA,02/10 22:30 PST,1.0,--,--,--,0.3,--,El Dorado County
10336780,"TROUT CK NR TAHOE VALLEY, CA",El Dorado County
,[(2)],02/10 22:00 PST,1.1,--,--,--,7.1,--,El Dorado County
11446030,SF AMERICAN R NR PILOT HILL CA,02/10 21:45 PST,9.6,--,--,--,--,--,El Dorado County
11251000,SAN JOAQUIN R BL FRIANT CA,02/10 22:30 PST,10.6,51,--,--,--,--,Fresno County
11254000,SAN JOAQUIN R NR MENDOTA CA,02/10 22:30 PST,12.7,627,--,--,--,--,Fresno County
364200119420001,014S021E17Q001M,Fresno County
,"[purged, ex situ SUNA2]",06/04 11:00 PDT,--,--,--,--,--,2.79,Fresno County
,"[purged, ex situ XO1 sonde]",06/04 11:00 PDT,26.2,319,3.4,8.1,--,--,Fresno County
364200119420002,014S021E17P001M,Fresno County
,"[purged, ex situ SUNA2]",06/04 08:00 PDT,--,--,--,--,--,16.76,Fresno County
,"[purged, ex situ XO1 sonde]",06/04 08:00 PDT,21.7,948,6.7,7.4,--,--,Fresno County
364200119420003,014S021E17Q002M,Fresno County
,"purged ex situ XO1 sonde, [purged ex situ XO1 sonde]",06/04 10:40 PDT,24.9,801,6.4,7.5,--,--,Fresno County
11468900,MATTOLE R NR ETTERSBURG CA,02/10 22:00 PST,9.8,--,--,--,--,--,Humboldt County
11523000,KLAMATH R A ORLEANS,02/10 22:30 PST,6.6,--,--,--,--,--,Humboldt County
11530000,TRINITY R A HOOPA CA,02/10 22:00 PST,7.4,--,--,--,--,--,Humboldt County
09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",02/10 23:00 MST,14.3,"1,040",--,--,--,--,Imperial County
11448750,SF SCOTTS C NR LAKEPORT CA,02/10 22:30 PST,10.8,--,--,--,2.4,--,Lake County
11448800,SCOTTS C BL SF SCOTTS C NR LAKEPORT CA,02/10 22:45 PST,8.8,--,--,--,5.1,--,Lake County
