StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Dissolvedoxygen, mg/L","Nitrate +nitrite water,in situmg/L as",county
01482100,DELAWARE RIVER AT DEL MEM BRIDGE AT WILMINGTON DE,Undefined
,Lower Sensor,02/11 01:36 EST,2.2,"3,750",--,--,--,--,Undefined
,Upper Sensor,02/11 01:36 EST,2.1,"3,670",--,--,--,--,Undefined
01463500,Delaware River at Trenton NJ,02/11 01:00 EST,1.0,285,8.0,2.2,14.9,--,DELAWARE BAY DRAINAGE
,,10/01 15:00 EDT,--,--,--,--,--,Dis,DELAWARE BAY DRAINAGE
01478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",02/11 01:15 EST,2.7,--,--,--,--,--,DELAWARE BAY DRAINAGE
01478245,"White Clay Creek near Strickersville, PA",02/11 01:30 EST,2.7,368,--,2.8,--,--,DELAWARE BAY DRAINAGE
01478650,"WHITE CLAY CREEK AT NEWARK, DE",02/11 01:15 EST,3.0,402,--,--,--,--,DELAWARE BAY DRAINAGE
01478950,"PIKE CREEK NEAR NEWARK, DE",02/11 01:30 EST,3.0,427,--,--,--,--,DELAWARE BAY DRAINAGE
01479000,"WHITE CLAY CREEK NEAR NEWARK, DE",02/11 01:15 EST,2.7,449,--,--,--,--,DELAWARE BAY DRAINAGE
01479820,"Red Clay Creek near Kennett Square, PA",02/11 00:45 EST,--,--,--,2.7,--,--,DELAWARE BAY DRAINAGE
01480000,"RED CLAY CREEK AT WOODDALE, DE",02/11 00:45 EST,3.0,--,--,--,--,--,DELAWARE BAY DRAINAGE
01481000,"Brandywine Creek at Chadds Ford, PA",02/11 01:30 EST,3.1,--,--,1.3,--,--,DELAWARE BAY DRAINAGE
,,12/07 12:00 EST,--,285,7.5,--,12.7,--,DELAWARE BAY DRAINAGE
01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",02/11 01:15 EST,2.8,462,8.1,1.6,13.9,--,DELAWARE BAY DRAINAGE
01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",02/11 01:00 EST,7.0,124,--,--,--,--,DELAWARE BAY DRAINAGE
01480065,"CHRISTINA RIVER AT NEWPORT, DE",02/11 01:30 EST,2.4,944,7.5,--,13.6,--,DELAWARE BAY TIDAL STATIONS
01482695,"C AND D CANAL NR DELAWARE CITY, DE",02/11 01:42 EST,2.5,"10,100",--,--,--,--,DELAWARE BAY TIDAL STATIONS
01482800,"Delaware River at Reedy Island Jetty, DE",02/11 00:45 EST,2.7,"13,100",7.9,--,13.4,--,DELAWARE BAY TIDAL STATIONS
01483177,"APPOQUINIMINK RIVER NEAR ODESSA, DE",02/11 00:45 EST,2.6,"11,300",7.9,--,13.0,--,DELAWARE BAY TIDAL STATIONS
01484080,"MURDERKILL RIVER AT FREDERICA, DE",02/11 01:06 EST,4.6,435,6.8,--,11.7,--,DELAWARE BAY TIDAL STATIONS
01484272,"BROADKILL RIVER NEAR MILTON, DE",02/11 00:45 EST,5.6,522,6.8,--,11.5,--,DELAWARE BAY TIDAL STATIONS
01484525,"MILLSBORO POND OUTLET AT MILLSBORO, DE",02/11 01:15 EST,5.4,130,6.9,--,12.9,--,ATLANTIC COASTAL BAYS DRAINAGE
01484680,"MASSEY DITCH AT MASSEY LANDING, DE",02/11 01:15 EST,4.0,"43,000",8.2,--,11.9,--,ATLANTIC COASTAL BAYS TIDAL STATIONS
