StationNumber,Station name,Date/Time,"Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C","Turbidity, IR LED light,det ang90 deg, FNU",county
02397530,"COOSA RIVER AT STATE LINE, AL/GA",02/11 01:00 EST,11.2,7.7,155,9.0,--,"Cherokee County, Alabama"
023432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",02/11 01:30 EST,11.0,--,81,10.9,--,"Henry County, Alabama"
02358000,APALACHICOLA RIVER AT CHATTAHOOCHEE FLA,02/11 01:45 EST,11.0,--,116,12.2,--,"Gadsden County, Florida"
02319000,"WITHLACOOCHEE RIVER NEAR PINETTA, FLA.",02/10 22:00 EST,--,--,117,13.4,--,"Madison County, Florida"
02225000,"ALTAMAHA RIVER NEAR BAXLEY, GA",02/11 00:45 EST,--,--,--,10.4,--,Appling County
02394000,"ETOWAH RIVER AT ALLATOONA DAM, ABV CARTERSVILLE,GA",02/11 01:30 EST,--,--,--,7.5,--,Bartow County
02318500,"WITHLACOOCHEE RIVER AT US 84, NEAR QUITMAN, GA",02/11 01:00 EST,9.3,6.6,90,12.9,12.0,Brooks County
02228070,"SATILLA RIVER AT US 17, AT WOODBINE, GA",02/11 01:00 EST,--,--,--,12.4,--,Camden County
02231254,"ST MARY'S RIVER AT I-95, NEAR KINGSLAND, GA",02/11 01:15 EST,8.7,--,"1,480",13.4,--,Camden County
02337498,"SNAKE CRK DS SNAKE CRK RESERVIOR NR WHITESBURG, GA",07/21 16:45 EDT,--,--,--,27.2,--,Carroll County
02198920,"SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA",02/11 01:30 EST,10.0,6.8,67,10.8,10.8,Chatham County
02198950,"MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA",02/11 01:15 EST,9.8,7.0,68,11.2,10.3,Chatham County
02198955,"MIDDLE RIVER AT FISH HOLE AT PORT WENTWORTH, GA",02/11 01:00 EST,9.8,7.0,134,11.2,16.1,Chatham County
021989715,"SAVANNAH RIVER AT GARDEN CITY, GA",Chatham County
,"-23.28ft, NAVD88",02/11 00:45 EST,9.7,--,"2,180",10.6,--,Chatham County
,[-13.25ft NAVD88],02/11 00:45 EST,9.9,7.1,"1,860",10.7,19.6,Chatham County
021989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA",02/11 01:15 EST,9.5,7.4,"5,390",10.7,12.2,Chatham County
021989792,"LITTLE BACK RIVER AT GA 25 AT PORT WENTWORTH, GA",02/11 01:30 EST,9.7,6.9,75,11.4,13.4,Chatham County
021989793,"LITTLE BACK RIVER AT HOG ISLAND, NEAR SAVANNAH, GA",02/11 01:00 EST,9.4,6.8,150,11.3,12.0,Chatham County
0219897945,"BACK RIVER 0.4 MI DOWNSTREAM US17, NR SAVANNAH, GA",02/11 01:00 EST,9.3,7.0,"3,250",11.6,15.9,Chatham County
02198980,"SAVANNAH RIVER AT FORT PULASKI, GA",02/11 01:15 EST,--,--,"21,700",11.0,--,Chatham County
02335870,"SOPE CREEK NEAR MARIETTA, GA",02/11 00:45 EST,--,--,--,Eqp,--,Cobb County
02388975,"ETOWAH RIVER AT GA 136, NEAR LANDDRUM, GA",02/11 00:45 EST,--,--,23,9.3,8.0,Dawson County
02388985,"RUSSELL CRK 0.3 MI DS HEAD LAKE NR DAWSONVILLE, GA",02/11 01:15 EST,10.7,7.0,30,9.4,4.4,Dawson County
02389150,"ETOWAH RIVER AT GA 9, NEAR DAWSONVILLE, GA",02/11 01:00 EST,--,--,30,9.4,3.5,Dawson County
02356000,"FLINT RIVER AT BAINBRIDGE, GA",02/11 00:45 EST,10.2,--,107,12.2,--,Decatur County
02357150,"SPRING CREEK NEAR REYNOLDSVILLE, GA",02/11 01:30 EST,8.1,--,180,15.6,--,Decatur County
02203700,"INTRENCHMENT CR AT CONSTITUTION RD, NR ATLANTA, GA",02/11 01:15 EST,8.6,6.9,186,12.0,3.5,Dekalb County
02203831,"DOOLITTLE CREEK AT FLAT SHOALS RD, NR DECATUR, GA",02/11 01:00 EST,10.0,7.0,86,11.9,3.6,Dekalb County
02203863,"SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA",02/11 01:15 EST,10.0,7.1,104,11.6,2.8,Dekalb County
02203873,"COBBS CREEK AT RAINBOW DR, NEAR DECATUR, GA",02/11 01:30 EST,9.5,6.9,97,11.8,2.2,Dekalb County
02203900,"SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA, GA",02/11 01:00 EST,8.8,7.0,135,12.1,5.6,Dekalb County
02203950,"SNAPFINGER CREEK NEAR DECATUR, GA",02/11 01:15 EST,10.4,7.1,107,12.1,7.2,Dekalb County
02203960,"SNAPFINGER CR AT THOMPSON MILL RD NR LITHONIA, GA",02/11 01:30 EST,11.5,7.2,94,11.7,5.5,Dekalb County
