StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C",county
381704085941800,"AMERICAN QUEEN @ AMERICAN STEAMBOAT CO, NEW ALBANY",03/18 13:00 EDT,7.8,--,13.7,UNDEFINED
,[Specific conductance],03/18 13:00 EDT,--,323,--,UNDEFINED
04092750,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",02/11 01:00 EST,7.9,512,4.2,04040001 Little Calumet-Galien
04093100,"DEEP RIVER NEAR LIVERPOOL, IN",02/11 01:15 EST,--,--,-0.0,04040001 Little Calumet-Galien
04093176,"LITTLE CALUMET RIVER AT GRANT ST AT GARY, IN",11/10 15:15 EST,--,--,17.6,04040001 Little Calumet-Galien
04093250,"LITTLE CALUMET RIVER NEAR LAKE STATION, IN",08/17 00:15 EST,--,--,27.6,04040001 Little Calumet-Galien
04094000,"LITTLE CALUMET RIVER AT PORTER, IN",01/25 11:30 EST,--,--,1.5,04040001 Little Calumet-Galien
04095090,"PORTAGE-BURNS WATERWAY AT PORTAGE, IN",11/10 14:15 EST,--,--,16.7,04040001 Little Calumet-Galien
04095300,"TRAIL CREEK AT MICHIGAN CITY, IN",02/11 01:30 EST,--,--,0.1,04040001 Little Calumet-Galien
413611087200903,"CITY HALL RAIN GARDEN OVERFLOW AT GARY, IN",02/11 01:00 EST,--,--,-1.6,04040001 Little Calumet-Galien
04182755,"JUNK DITCH AT FORT WAYNE, IN",02/11 01:15 EST,--,--,Eqp,04100004 St. Marys
04183038,"BLACK CREEK NEAR HARLAN, IN",02/11 01:00 EST,--,"1,820",0.8,04100005 Upper Maumee
,,08/20 13:45 EST,Dis,--,--,04100005 Upper Maumee
04183500,Maumee River at Antwerp OH,04100005 Upper Maumee
,[at sampler location],02/11 00:45 EST,8.7,"1,200",0.1,04100005 Upper Maumee
03275500,"EAST FORK WHITEWATER RIVER AT RICHMOND, IN",02/11 01:00 EST,8.5,697,-0.1,05080003 Whitewater
03276000,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",02/11 00:45 EST,--,--,2.8,05080003 Whitewater
,QW,03/09 08:30 EST,8.3,419,***,05080003 Whitewater
03323500,"WABASH RIVER AT HUNTINGTON, IN",02/11 01:00 EST,--,--,0.1,05120101 Upper Wabash
03324500,"SALAMONIE RIVER AT DORA, IN",02/11 01:15 EST,--,--,1.2,05120102 Salamonie
03327000,"MISSISSINEWA RIVER AT PEORIA, IN",02/11 01:00 EST,--,--,1.2,05120103 Mississinewa
03340900,"BIG RACCOON CREEK AT FERNDALE, IN",05120108 Middle Wabash-Little Vermilion
,[(2)],02/11 01:30 EST,--,--,2.6,05120108 Middle Wabash-Little Vermilion
03378500,"WABASH RIVER AT NEW HARMONY, IN",05120113 Lower Wabash
,Basin,02/10 23:45 CST,8.0,458,2.7,05120113 Lower Wabash
,Pipe,02/10 23:45 CST,--,452,--,05120113 Lower Wabash
,Pipe,02/10 23:45 CST,8.1,--,1.3,05120113 Lower Wabash
03351007,"HOLLY CREEK ABOVE 86TH STREET AT INDIANAPOLIS, IN",02/11 01:30 EST,--,--,0.5,05120201 Upper White
