StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C","Temperature, water, deg F","Chloro-phylls, phyto-plnktn,uncorr, ug/L","Dissolvedoxygen,percentof sat-uration","Dissolvedoxygen, mg/L","Nitrate +nitrite water, fltrd, mg/L as N","Salinity, water,unfltrd ppth","Turbidity, NTU",county
08041910,"Sabine Lk site SAB2 nr Sabine Pass, TX",01/27 11:00 CST,--,"4,220",16.7,--,--,--,--,--,2.2,--,Undefined
301001089442600,"Rigolets at Hwy 90 near Slidell, LA",02/11 00:30 CST,--,"15,200",14.5,--,--,--,--,--,8.8,--,Lake Pontchartrain Basin
07381150,"Bayou Lafourche at Lockport, LA",02/11 00:30 CST,--,412,15.2,--,--,--,--,--,0.2,--,Mississippi River Delta Basin
07381235,"GIWW West of Bayou Lafourche at Larose, LA",10/24 09:00 CDT,--,"3,440",22.7,--,--,--,--,--,1.8,--,Mississippi River Delta Basin
07381328,"Houma Navigation Canal at Dulac, LA",02/11 00:00 CST,--,Dis,Dis,--,--,--,--,--,Dis,--,Mississippi River Delta Basin
07381349,"Caillou Lake (Sister Lake) SW of Dulac, LA",02/11 00:00 CST,--,"21,300",17.7,--,--,--,--,--,13,--,Mississippi River Delta Basin
073813498,"Caillou Bay SW of Cocodrie, LA",02/11 00:00 CST,--,"40,000",18.0,--,--,--,--,--,26,--,Mississippi River Delta Basin
07381350,"Company Canal at Hwy 1 at Lockport, LA",02/11 00:00 CST,--,411,15.2,--,--,--,--,--,0.2,--,Mississippi River Delta Basin
07381355,"Company Canal at Salt Barrier near Lockport, LA",02/11 00:00 CST,--,399,18.5,--,--,--,--,--,0.2,--,Mississippi River Delta Basin
073814675,"Bayou Boeuf at Railroad Bridge at Amelia, LA",02/11 00:00 CST,--,264,15.6,--,--,--,--,--,0.1,--,Mississippi River Delta Basin
07386880,"Vermilion River at Surrey St. at Lafayette, LA",02/11 00:00 CST,--,--,15.4,--,--,--,7.3,--,--,--,Calcasieu-Mermentau-Vermilion River Basins
07387040,"Vermilion Bay near Cypremort Point, LA",02/11 00:00 CST,--,"5,440",15.8,--,--,--,--,--,2.9,--,Calcasieu-Mermentau-Vermilion River Basins
07387050,"Vermilion Bay(B. Fearman) nr Intracoastal City, LA",02/11 00:00 CST,--,"11,300",18.2,--,--,--,--,--,6.4,--,Calcasieu-Mermentau-Vermilion River Basins
08014500,"Ouiska Chitto Creek Near Oberlin, LA",02/11 00:00 CST,--,--,16.5,--,--,--,--,--,--,--,Calcasieu-Mermentau-Vermilion River Basins
08017044,"Calcasieu River at I-10 at Lake Charles, LA",02/11 00:00 CST,--,"10,300",--,--,--,--,--,--,5.8,--,Calcasieu-Mermentau-Vermilion River Basins
,Elevation:      1.000,02/11 00:00 CST,--,--,14.6,--,--,--,--,--,--,--,Calcasieu-Mermentau-Vermilion River Basins
08017095,"North Calcasieu Lake near Hackberry, LA",02/11 00:00 CST,--,"22,400",16.8,--,--,--,--,--,13,--,Calcasieu-Mermentau-Vermilion River Basins
08017118,"Calcasieu River at Cameron, LA",02/11 00:00 CST,--,"38,500",15.6,--,--,--,--,--,24,--,Calcasieu-Mermentau-Vermilion River Basins
07374000,"Mississippi River at Baton Rouge, LA",02/11 00:00 CST,8.1,333,6.5,--,--,--,11.5,--,0.2,--,Mississippi-Atchafalaya River Basins
07381600,"Lower Atchafalaya River at Morgan City, LA",02/11 00:00 CST,9.9,364,8.5,--,--,--,10.8,--,0.2,--,Mississippi-Atchafalaya River Basins
07380245,"Southwestern Louisiana Canal E of Leeville, LA",02/10 23:45 CST,--,"33,500",19.1,--,--,--,--,--,21,--,Mississippi River - Barataria Basin
07380249,"Caminada Pass NW of Grand Isle, LA",Mississippi River - Barataria Basin
,[Computed from spec cond],02/11 00:00 CST,--,--,--,--,--,--,--,--,22,--,Mississippi River - Barataria Basin
07380251,"Barataria Bay N of Grand Isle, LA",02/10 12:00 CST,7.4,"26,800",16.7,--,--,--,9.0,--,16,--,Mississippi River - Barataria Basin
073802511,"Barataria Waterway at Mud Lake S of Lafitte, LA",02/11 00:00 CST,--,"28,600",17.6,--,--,--,--,--,18,--,Mississippi River - Barataria Basin
