StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU",county
05051522,"RED RIVER OF THE NORTH AT HICKSON, ND",02/10 23:45 CST,-0.0,538,12.5,7.8,4.8,RED RIVER OF THE NORTH BASIN (RRNB)
05054000,"RED RIVER OF THE NORTH AT FARGO, ND",02/11 00:15 CST,-0.0,552,12.5,8.0,3.2,RED RIVER OF THE NORTH BASIN (RRNB)
05062130,"RED RIVER NEAR GEORGETOWN, MN",02/11 00:30 CST,-0.0,902,11.1,7.8,5.0,RED RIVER OF THE NORTH BASIN (RRNB)
05064500,"RED RIVER OF THE NORTH AT HALSTAD, MN",11/02 12:30 CST,Ssn,--,--,--,--,RED RIVER OF THE NORTH BASIN (RRNB)
,,10/26 16:45 CDT,--,Ssn,--,--,--,RED RIVER OF THE NORTH BASIN (RRNB)
05082500,"RED RIVER OF THE NORTH AT GRAND FORKS, ND",02/10 23:45 CST,-0.0,683,10.7,8.2,4.1,RED RIVER OF THE NORTH BASIN (RRNB)
05055300,"SHEYENNE R AB DEVILS LK STATE OUTLET NR FLORA, ND",02/11 00:00 CST,--,***,--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
,,01/06 21:45 CST,***,--,--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
05055400,"SHEYENNE R BL DEVILS LK STATE OUTLET NR BREMEN, ND",10/27 16:45 CDT,0.7,"2,120",--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
05057000,"SHEYENNE RIVER NR COOPERSTOWN, ND",02/11 00:00 CST,-0.2,--,5.4,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
,,02/10 09:15 CST,--,***,--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
05058000,"SHEYENNE RIVER BELOW BALDHILL DAM, ND",02/11 00:00 CST,1.4,"2,000",--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
05059300,"SHEYENNE R AB SHEYENNE R DIVERSION NR HORACE, ND",10/28 09:15 CDT,Ssn,Ssn,--,--,--,SHEYENNE RIVER BASIN (subbasin of RRNB)
05056678,"TOLNA COULEE NEAR TOLNA, ND",10/21 12:00 CDT,3.9,"2,940",--,--,--,DEVILS LAKE BASIN (subbasin of RRNB)
05114000,"SOURIS RIVER NR SHERWOOD, ND",01/06 14:15 CST,--,--,0.6,--,--,SOURIS RIVER BASIN (subbasin of RRNB)
,,12/18 14:45 CST,-0.1,--,--,--,--,SOURIS RIVER BASIN (subbasin of RRNB)
,,12/16 14:45 CST,--,"2,860",--,--,--,SOURIS RIVER BASIN (subbasin of RRNB)
05117500,"SOURIS RIVER ABOVE MINOT, ND",02/11 00:15 CST,0.4,"3,020",12.2,--,--,SOURIS RIVER BASIN (subbasin of RRNB)
05124000,"SOURIS RIVER NR WESTHOPE, ND",02/11 00:00 CST,-0.2,"4,730",0.6,--,--,SOURIS RIVER BASIN (subbasin of RRNB)
06331000,"LITTLE MUDDY RIVER BL COW CREEK NR WILLISTON, ND",02/11 00:15 CST,0.8,"2,640",--,--,--,LITTLE MUDDY RIVER BASIN (subbasin of MRB)
06330000,"MISSOURI RIVER NR WILLISTON, ND",02/10 23:45 CST,-0.1,--,--,--,--,MISSOURI RIVER BASIN (MRB)
06342500,"MISSOURI RIVER AT BISMARCK, ND",02/11 00:15 CST,-0.2,--,--,--,--,MISSOURI RIVER BASIN (MRB)
06336000,"LITTLE MISSOURI RIVER AT MEDORA, ND",10/28 17:15 CDT,-0.1,"1,370",13.4,8.6,--,LITTLE MISSOURI RIVER BASIN (subbasin of MRB)
06348300,"HEART RIVER AT STARK BRIDGE NR JUDSON, ND",10/30 12:15 CDT,-0.0,"1,890",--,--,--,HEART RIVER BASIN (subbasin of MRB)
06349000,"HEART RIVER NR MANDAN, ND",10/20 15:00 CDT,6.3,"1,900",--,--,--,HEART RIVER BASIN (subbasin of MRB)
06467600,"JAMES RIVER NR MANFRED, ND",10/01 00:45 CDT,9.4,--,--,--,--,JAMES RIVER BASIN (subbasin of MRB)
,,10/01 00:30 CDT,--,"2,850",--,--,--,JAMES RIVER BASIN (subbasin of MRB)
06470000,"JAMES RIVER AT JAMESTOWN, ND",08/10 17:15 CDT,24.2,--,--,--,--,JAMES RIVER BASIN (subbasin of MRB)
06470500,"JAMES RIVER AT LAMOURE, ND",08/11 10:15 CDT,22.9,--,--,--,--,JAMES RIVER BASIN (subbasin of MRB)
