StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC",county
09386189,"ZUNI SALT LAKE NR QUEMADO, NM",02/10 23:30 MST,9.2,"236,000",Undefined
365204105365501,30N.12E.01.1414,02/10 23:15 MST,7.4,--,Undefined
08317400,"RIO GRANDE BELOW COCHITI DAM, NM",02/10 23:15 MST,4.2,322,Rio Grande Basin
08329918,"RIO GRANDE AT ALAMEDA BRIDGE AT ALAMEDA, NM",05/13 14:00 MDT,20.5,--,Rio Grande Basin
08363510,"RIO GRANDE BELOW LEASBURG DAM AT FORT SELDEN, NM",09/30 18:15 MDT,--,"1,170",Rio Grande Basin
,,09/29 01:45 MDT,17.2,--,Rio Grande Basin
08364000,"RIO GRANDE AT EL PASO, TX",02/10 23:30 MST,14.1,"4,340",Rio Grande Basin
323733107011002,19S.02W.26.321 H-26,Rio Grande Basin
,[purged ex-situ EXO1 sonde],05/13 17:45 MDT,18.3,"3,540",Rio Grande Basin
324007107095501,19S.03W.08.423 HD-1,Rio Grande Basin
,[purged ex-situ EXO1 sonde],05/13 17:00 MDT,21.3,"2,120",Rio Grande Basin
324955107180902,17S.05W.13.24 H3-2,Rio Grande Basin
,[purged ex-situ EXO1 sonde],05/07 17:45 MDT,19.0,--,Rio Grande Basin
08377900,"RIO MORA NEAR TERRERO, NM",02/10 23:15 MST,-0.2,--,Pecos River Basin
08405200,"PECOS RIVER BELOW DARK CANYON AT CARLSBAD, NM",02/10 23:15 MST,11.5,"3,660",Pecos River Basin
08405400,"BLACK RIVER AT HARKEY CROSSING NR MALAGA, NM",02/10 23:30 MST,11.5,"1,610",Pecos River Basin
08406500,"PECOS RIVER NEAR MALAGA, NM",02/10 23:15 MST,11.8,"7,210",Pecos River Basin
08407500,"PECOS RIVER AT RED BLUFF, NM",02/10 22:45 MST,12.7,"8,170",Pecos River Basin
09355500,"SAN JUAN RIVER NEAR ARCHULETA, NM",02/10 23:30 MST,5.3,--,San Juan River Basin
09363500,"ANIMAS RIVER NEAR CEDAR HILL, NM",02/10 23:00 MST,4.9,725,San Juan River Basin
09364010,"ANIMAS RIVER BELOW AZTEC, NM",02/10 23:15 MST,Mnt,Mnt,San Juan River Basin
09364500,"ANIMAS RIVER AT FARMINGTON, NM",01/06 16:15 MST,2.4,--,San Juan River Basin
09365000,"SAN JUAN RIVER AT FARMINGTON, NM",02/10 23:00 MST,Mnt,Mnt,San Juan River Basin
09368000,"SAN JUAN RIVER AT SHIPROCK, NM",02/10 23:00 MST,6.9,583,San Juan River Basin
09371010,"SAN JUAN RIVER AT FOUR CORNERS, CO",02/10 22:45 MST,6.6,611,San Juan River Basin
