StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Dissolvedoxygen, mg/L","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water,in situmg/L as","Chlorophyll,tot, wt650-700 nm,in situ ug/L","Phycocyanin fluor-escence water,in situcell/mL",county
03086500,Mahoning River at Alliance OH,02/11 01:00 EST,0.0,--,--,--,--,--,--,--,
03090500,Mahoning River bl Berlin Dam nr Berlin Center OH,02/11 01:15 EST,1.8,--,--,--,--,--,--,--,
03091500,Mahoning River at Pricetown OH,02/11 01:00 EST,2.9,--,--,--,--,--,--,--,
03092090,West Branch Mahoning River near Ravenna OH,02/11 01:00 EST,0.4,--,--,--,--,--,--,--,
03092460,West Branch Mahoning River at Wayland OH,02/11 01:15 EST,2.0,--,--,--,--,--,--,--,
03094000,Mahoning River at Leavittsburg OH,02/11 01:15 EST,0.0,--,--,--,--,--,--,--,
03094704,Mosquito Creek near Greene Center OH,02/11 00:45 EST,0.1,--,--,--,--,--,--,--,
03095500,Mosquito Creek bl Mosquito Ck Dam nr Cortland OH,02/11 00:45 EST,2.6,--,--,--,--,--,--,--,
03098600,Mahoning River below West Ave at Youngstown OH,02/11 01:15 EST,0.8,721,8.0,13.6,--,--,--,--,
,Instream,02/11 01:15 EST,0.6,--,--,--,--,--,--,--,
03099500,Mahoning River at Lowellville OH,02/11 01:00 EST,1.1,826,--,13.7,--,--,--,--,
03102950,Pymatuning Creek at Kinsman OH,02/11 01:30 EST,0.0,--,--,--,--,--,--,--,
03119341,McGuire Creek above Leesville Lake OH,02/11 01:45 EST,0.0,328,--,--,--,--,--,--,
03119971,North Fork McGuire Creek near Carrollton OH,02/11 00:45 EST,-0.0,308,--,--,--,--,--,--,
03119979,Bear Hole Run near Carrollton OH,02/11 01:15 EST,-0.0,199,--,--,--,--,--,--,
03120820,Indian Fork at Dellroy OH,02/11 01:45 EST,0.0,456,--,--,--,--,--,--,
03120869,Willow Run near Dellroy OH,02/11 01:45 EST,0.2,227,--,--,--,--,--,--,
03120961,Unnamed Tributary near Dellroy OH,02/11 01:45 EST,0.1,355,--,--,--,--,--,--,
03125338,Stillwater Creek above Piedmont Lake OH,02/11 01:30 EST,0.0,"1,320",--,--,--,--,--,--,
03126395,Brushy Fork above Clendening Lake OH,02/11 01:30 EST,-0.1,"1,990",--,--,--,--,--,--,
03127980,Clear Fork above Tappan Lake OH,02/11 01:15 EST,-0.0,"1,110",--,--,--,--,--,--,
03127986,Standingstone Fork above Tappan Lake OH,02/11 00:45 EST,0.0,"1,830",--,--,--,--,--,--,
03127989,Beaverdam Run above Tappan Lake OH,02/11 01:15 EST,0.0,266,--,--,--,--,--,--,
03140853,Seneca Fork above Senecaville Lake OH,02/11 01:15 EST,0.0,421,--,--,--,--,--,--,
03140900,South Fork above Senecaville Lake OH,02/11 01:45 EST,-0.2,423,--,--,--,--,--,--,
03140950,Beaver Creek above Senecaville Lake OH,02/11 01:30 EST,0.1,666,--,--,--,--,--,--,
03157000,Clear Creek near Rockbridge OH,11/07 07:15 EST,Eqp,--,--,--,--,--,--,--,
03159540,Shade River near Chester OH,02/11 00:00 EST,-0.1,--,--,--,--,--,--,--,
03216070,"OHIO RIVER AT IRONTON, OH",02/10 21:00 EST,2.8,267,7.8,13.3,12.0,0.70,--,--,
03219500,Scioto River near Prospect OH,02/11 01:00 EST,0.0,0.,--,0.0,--,--,--,--,
,,12/17 14:00 EST,--,--,8.0,--,--,--,--,--,
03220510,Scioto R. at O'Shaughnessy Dam near Dublin OH,02/11 00:00 EST,0.0,--,--,0.0,--,--,--,--,
,,02/03 14:00 EST,--,--,6.7,--,--,--,--,--,
,,01/23 05:00 EST,--,679,--,--,--,--,--,--,
03221500,Griggs Reservoir at Columbus OH,02/11 00:00 EST,1.6,--,--,--,--,--,--,--,
03228039,Scioto River above Shadeville OH,02/11 01:00 EST,2.8,"1,340",8.4,14.2,3.0,--,--,--,
03228300,Big Walnut Creek at Sunbury OH,02/11 00:00 EST,Ssn,--,--,Ssn,--,--,--,--,
,,11/19 15:00 EST,--,Ssn,Ssn,--,--,--,--,--,
03232470,Paint Creek near Bainbridge OH,02/11 01:15 EST,2.5,--,--,--,--,--,--,--,
03240000,Little Miami River near Oldtown OH,02/11 01:30 EST,0.2,--,--,--,--,--,--,--,
03242350,Caesar Creek near Wellman OH,02/11 01:00 EST,5.4,--,--,--,--,--,--,--,
03247041,E Fk Little Miami River bl Harsha Dam nr Bantam OH,02/11 01:00 EST,2.6,--,--,--,--,--,--,--,
03265000,Stillwater River at Pleasant Hill OH,02/11 01:00 EST,0.2,--,--,--,--,--,--,--,
03272100,Great Miami River at Middletown OH,02/11 01:30 EST,3.3,--,--,--,--,--,--,--,
04183500,Maumee River at Antwerp OH,02/11 00:45 EST,--,--,--,--,--,2.94,--,--,
,[at sampler location],02/11 00:45 EST,0.1,"1,200",8.7,18.9,3.8,--,--,--,
04185000,Tiffin River at Stryker OH,01/20 01:30 EST,Eqp,--,--,--,--,--,--,--,
04188496,Eagle Creek above Findlay OH,02/11 00:45 EST,1.1,"1,200",7.2,5.8,1.8,--,--,--,
04189000,Blanchard River near Findlay OH,02/11 01:00 EST,1.9,--,--,--,--,--,--,--,
04193490,Maumee River near Waterville OH,02/11 01:00 EST,0.2,834,8.7,18.0,6.6,--,--,--,
04198000,Sandusky River near Fremont OH,02/11 01:30 EST,0.7,--,--,--,--,--,--,--,
04199000,Huron River at Milan OH,02/11 01:30 EST,0.1,928,8.2,14.6,2.8,--,--,--,
04199500,Vermilion River near Vermilion OH,02/11 01:00 EST,0.0,890,8.3,15.2,1.8,--,--,--,
04200500,Black River at Elyria OH,02/11 01:15 EST,0.1,"1,120",8.3,14.2,4.1,--,--,--,
04201500,Rocky River near Berea OH,02/11 00:00 EST,0.0,--,--,--,--,--,--,--,
04206425,Cuyahoga River at Jaite OH,11/04 10:45 EST,--,--,--,--,7.6,--,--,--,
,,11/04 10:30 EST,8.3,--,--,--,--,--,--,--,
04208000,Cuyahoga River at Independence OH,02/11 01:30 EST,0.3,"1,450",8.2,14.5,2.7,--,--,--,
04212100,Grand River near Painesville OH,02/11 01:00 EST,0.1,603,7.8,14.3,4.4,--,--,--,
04213000,Conneaut Creek at Conneaut OH,01/19 23:00 EST,-0.1,--,--,--,--,--,--,--,
395339083130100,Big Darby Creek above Georgesville OH,02/11 00:45 EST,0.0,960,8.5,14.8,3.0,--,--,--,
411402080492400,Mahoning River near U.S. Route 422 at Warren OH,02/11 01:30 EST,-0.1,556,7.8,14.8,--,--,--,--,
