StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C","Dissolvedoxygen, mg/L","Turbidity, IR LED light,det ang90 deg, FNU",county
03574768,"FLINT R AT OSCAR PATTERSON ROAD NR HAZEL GREEN, AL",02/11 00:00 CST,--,--,--,--,3.8,"Madison County, Alabama"
03574975,"BRIER FORK AT MOORE'S MILL RD NR MERIDIANVILLE, AL",02/10 23:45 CST,--,--,--,--,5.9,"Madison County, Alabama"
03575100,"FLINT RIVER AT BROWNSBORO, AL.",02/11 00:30 CST,--,--,--,--,5.4,"Madison County, Alabama"
03497300,"LITTLE RIVER ABOVE TOWNSEND, TN",02/11 01:45 EST,--,--,8.0,--,--,Blount County
03417500,"CUMBERLAND RIVER AT CELINA, TN",02/11 00:30 CST,--,--,6.9,--,--,Clay County
,,10/30 08:30 CDT,Ssn,Ssn,--,Ssn,--,Clay County
03538830,"OBED RIVER AT ADAMS BRIDGE NEAR CROSSVILLE, TN",02/10 23:30 CST,9.5,97,7.2,12.0,3.0,Cumberland County
03539600,"DADDYS CREEK NEAR HEBBERTSBURG, TN",02/11 00:00 CST,7.5,Eqp,7.1,11.7,9.0,Cumberland County
03430200,"STONES RIVER AT US HWY 70 NEAR DONELSON, TN",02/11 00:30 CST,8.3,375,6.7,12.2,--,Davidson County
03431083,"MILL CREEK AT LEBANON ROAD AT NASHVILLE, TN",02/10 23:30 CST,8.6,513,9.9,12.2,5.0,Davidson County
03431091,"CUMBERLAND R AT OMOHUNDRO WTR PLT AT NASHVILLE, TN",02/11 00:30 CST,8.0,229,7.2,11.9,--,Davidson County
03431514,"CUMBERLAND RIVER NEAR BORDEAUX, TN",02/11 00:30 CST,8.1,243,7.2,12.0,--,Davidson County
360553087352201,Hs:L-008,02/11 00:30 CST,--,--,13.7,--,--,Humphreys County
03582000,"ELK RIVER ABOVE FAYETTEVILLE, TN",02/11 00:15 CST,--,--,10.1,--,--,Lincoln County
03539778,"CLEAR CREEK AT LILLY BRIDGE NEAR LANCING, TN",02/11 01:30 EST,7.0,45,5.6,12.4,3.0,Morgan County
03604000,"BUFFALO RIVER NEAR FLAT WOODS, TN",02/11 00:00 CST,--,--,10.0,--,--,Perry County
03556590,HIWASSEE RIVER ABOVE RELIANCE,02/11 01:30 EST,--,--,7.5,--,--,Polk County
03428180,"WF STONES R AT BLANTON RD MURFREESBORO, TN",02/11 00:00 CST,7.9,441,10.2,10.6,--,Rutherford County
03408500,"NEW RIVER AT NEW RIVER, TN",02/11 01:00 EST,7.5,116,5.9,12.3,11.0,Scott County
03409500,"CLEAR FORK NEAR ROBBINS, TN",02/11 01:30 EST,8.7,51,5.0,12.6,4.0,Scott County
03418420,"CUMBERLAND RIVER BELOW CORDELL HULL DAM, TN",02/11 00:30 CST,--,--,6.6,--,--,Smith County
,,10/26 11:30 CDT,Ssn,Ssn,--,Ssn,--,Smith County
0343233905,"HARPETH RIVER AT MILE 90.5 NEAR FRANKLIN, TN",02/11 00:30 CST,8.1,399,9.7,10.9,--,Williamson County
034324146,"HARPETH RIVER AT MILE 81.33 NR BERRYS CHAPEL, TN",02/11 00:00 CST,--,439,10.0,11.0,--,Williamson County
