StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Sampling depth, feet","Stream velocity, ft/s","Turbidity, NTU","Turbidity, IR LED light,det ang90 deg, FNU",county
08364000,"RIO GRANDE AT EL PASO, TX",02/10 23:30 MST,14.1,"4,340",--,--,--,--,--,--,Undefined
292618099165901,TD-69-38-601 (Seco Creek Well),12/19 09:00 CST,Dis,Dis,--,--,--,--,--,--,Undefined
07227500,"Canadian Rv nr Amarillo, TX",02/11 00:30 CST,-0.2,"4,860",--,--,--,--,--,--,Arkansas River Basin
07311800,"S Wichita Rv nr Benjamin, TX",02/11 00:30 CST,-0.3,"42,900",--,--,--,--,--,--,Red River Basin
07312500,"Wichita Rv at Wichita Falls, TX",02/10 23:30 CST,3.0,"6,000",--,--,--,--,--,--,Red River Basin
07332605,"Bois D'Arc Ck at HWY 56 nr Bonham, TX",02/11 00:15 CST,3.7,566,11.2,7.9,--,--,--,--,Red River Basin
07332622,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",02/11 00:00 CST,4.9,363,12.5,8.3,--,--,--,--,Red River Basin
08041770,"LNVA Canal at Beaumont, TX",02/11 00:00 CST,14.9,137,9.6,7.1,--,--,--,25.6,Neches River Basin
08048000,"W Fk Trinity Rv at Ft Worth, TX",01/17 12:30 CST,Eqp,Eqp,Eqp,Eqp,--,--,--,Eqp,Trinity River Basin
08049500,"W Fk Trinity Rv at Grand Prairie, TX",02/11 00:30 CST,11.2,717,9.8,8.6,--,--,--,18.0,Trinity River Basin
08052700,"Little Elm Ck nr Aubrey, TX",02/11 00:15 CST,2.7,795,14.4,--,--,--,--,--,Trinity River Basin
,,01/25 23:15 CST,--,--,--,Eqp,--,--,--,--,Trinity River Basin
08052745,"Doe Br at US Hwy 380 nr Prosper, TX",02/11 00:15 CST,9.6,349,Eqp,7.8,--,--,--,--,Trinity River Basin
08057000,"Trinity Rv at Dallas, TX",02/11 00:00 CST,11.0,623,10.7,8.1,--,--,--,22.0,Trinity River Basin
08057410,"Trinity Rv bl Dallas, TX",03/16 22:00 CDT,Eqp,Eqp,Eqp,Eqp,--,--,--,Eqp,Trinity River Basin
08062500,"Trinity Rv nr Rosser, TX",02/11 00:30 CST,11.2,661,11.5,8.0,--,--,--,23.0,Trinity River Basin
08065350,"Trinity Rv nr Crockett, TX",02/10 23:45 CST,12.2,626,11.1,8.5,--,--,--,21.6,Trinity River Basin
08067074,"CWA Canal at Thompson Rd nr Baytown, TX",02/11 00:15 CST,15.1,359,10.0,7.8,--,--,--,24.8,Trinity River Basin
08067100,"Trinity Rv nr Moss Bluff, TX",02/11 00:30 CST,15.3,369,--,--,--,--,--,--,Trinity River Basin
08067118,"Lk Charlotte nr Anahuac, TX",02/11 00:30 CST,18.5,381,--,--,--,--,--,--,Trinity River Basin
08067215,"Old Rv Cutoff nr Moss Bluff, TX",Trinity River Basin
,DS from QW Meter,02/11 00:45 CST,14.7,372,--,--,--,--,--,--,Trinity River Basin
08067252,"Trinity Rv at Wallisville, TX",Trinity River Basin
,"Downstream of Barrier, [Downstream of Barrier]",02/11 00:15 CST,14.9,369,--,--,--,--,--,--,Trinity River Basin
,"Upstream of Barrier, [Upstream of Barrier]",02/11 00:15 CST,14.8,367,--,--,--,--,--,--,Trinity River Basin
,"Upstream of Lock Chamber, [Upstream of Lock Chamber]",02/11 00:15 CST,14.9,364,--,--,--,--,--,--,Trinity River Basin
08067254,"Old Rv at Buckeye Island nr Anahuac, TX",Trinity River Basin
,[15-Min Update],12/16 11:00 CST,10.9,--,--,--,--,--,--,--,Trinity River Basin
08067302,"Trinity Bay site TRIN nr Anahuac, TX",02/04 13:30 CST,14.6,"15,900",--,--,--,--,--,--,Trinity River Basin
08067303,"Trinity Bay site FISH nr Baytown, TX",01/28 15:15 CST,14.7,"16,000",--,--,--,--,--,--,Trinity River Basin
08068000,"W Fk San Jacinto Rv nr Conroe, TX",02/11 00:15 CST,15.1,717,9.1,7.6,--,--,--,14.8,San Jacinto River Basin
08068500,"Spring Ck nr Spring, TX",02/10 23:45 CST,14.5,486,9.6,7.9,--,--,--,18.1,San Jacinto River Basin
08069500,"W Fk San Jacinto Rv nr Humble, TX",02/10 23:45 CST,16.8,554,10.7,8.1,--,--,--,13.4,San Jacinto River Basin
08070200,"E Fk San Jacinto Rv nr New Caney, TX",02/11 00:00 CST,14.9,245,9.3,7.2,--,--,--,9.0,San Jacinto River Basin
295524095072701,"SJRA E Industrial Canal nr Crosby, TX",02/11 00:30 CST,14.9,172,--,--,--,--,--,--,San Jacinto River Basin
295554095093402,"Lk Hou at Jack's Ditch (Site 2) nr Houston, TX",San Jacinto River Basin
,[1 ft.],02/11 00:00 CST,14.8,171,9.3,7.5,--,--,--,52.7,San Jacinto River Basin
,[12 ft.],02/11 00:00 CST,14.7,171,9.2,7.5,--,--,--,54.1,San Jacinto River Basin
,[14 ft.],02/11 00:00 CST,14.6,171,9.1,7.5,--,--,--,56.1,San Jacinto River Basin
,[6 ft.],02/11 00:00 CST,14.8,171,9.3,7.5,--,--,--,52.9,San Jacinto River Basin
295826095082200,"Lk Houston S Union Pacific RR Bridge nr Houston,TX",02/11 00:30 CST,14.8,180,9.2,7.6,--,--,--,55.4,San Jacinto River Basin
300032095080501,"Lk Houston at FM 1960 nr Huffman, TX",San Jacinto River Basin
,[Depth 4 ft],02/11 00:30 CST,15.1,172,9.2,7.7,--,--,--,56.2,San Jacinto River Basin
08086212,"Hubbard Ck bl Albany, TX",02/10 22:00 CST,5.9,"2,540",--,--,--,--,--,--,Brazos River Basin
08086290,"Big Sandy Ck abv Breckenridge, TX",02/11 00:30 CST,5.9,"3,040",--,--,--,--,--,--,Brazos River Basin
